,host_id,host_response_rate,host_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,reviews_per_month,dist_from_center,property_type_clean,parking,price_log,price_RobustScaler,parking_num
93,441886,100.0,8.0,Hammersmith and Fulham,W6 0EY,51.4971,-0.23354,House,Entire home/apt,5,2.0,3.0,3.0,300.0,500.0,120.0,1,0.0,77,4,3,0.78,8.110743456466384,House,1.0,5.703782474656201,2.3085106382978724,1.0
96,445322,100.0,1.0,Havering,RM7 8AQ,51.585190000000004,0.15639,House,Entire home/apt,2,2.0,1.0,1.0,190.0,0.0,0.0,2,195.0,0,0,1,,20.73284669755817,House,1.0,5.247024072160486,1.1382978723404256,1.0
102,465847,100.0,1.0,Merton,SW19 3SD,51.41944,-0.20749,House,Entire home/apt,7,2.0,4.0,4.0,150.0,1000.0,80.0,8,0.0,34,9,1,1.73,11.801559194233764,House,1.0,5.0106352940962555,0.7127659574468085,1.0
116,491286,100.0,2.0,Kensington and Chelsea,W11 3,51.510740000000006,-0.19852999999999998,House,Entire home/apt,2,1.0,1.0,1.0,105.0,0.0,35.0,2,10.0,337,42,2,3.44,5.564051729325128,House,0.0,4.653960350157523,0.23404255319148937,0.0
144,535247,100.0,3.0,Hackney,E8 1EN,51.54647,-0.056639999999999996,House,Entire home/apt,6,1.0,3.0,3.0,140.0,100.0,50.0,1,25.0,27,3,3,0.28,5.8818096524958,House,1.0,4.941642422609304,0.6063829787234043,1.0
153,564310,100.0,1.0,Islington,N1 3BH,51.540890000000005,-0.08900000000000001,House,Entire home/apt,4,1.0,2.0,3.0,250.0,1500.0,75.0,1,0.0,5,0,1,0.07,3.9914874624456087,House,1.0,5.521460917862246,1.7765957446808511,1.0
171,694198,100.0,2.0,Merton,SM4 5,51.40269,-0.19177,House,Entire home/apt,7,1.0,2.0,2.0,125.0,400.0,35.0,4,15.0,3,2,2,0.13,12.956525966946737,House,1.0,4.8283137373023015,0.44680851063829785,1.0
188,81675,,3.0,Merton,SW19 4,51.422540000000005,-0.21679,House,Entire home/apt,10,6.0,5.0,5.0,650.0,0.0,0.0,1,0.0,1,0,3,0.02,11.868162539274115,House,1.0,6.476972362889683,6.031914893617022,1.0
270,565948,100.0,11.0,Tower Hamlets,E3 5LZ,51.53179,-0.03413,House,Entire home/apt,2,1.5,1.0,2.0,110.0,500.0,150.0,6,10.0,29,0,2,0.32,6.296105837363369,House,1.0,4.700480365792417,0.2872340425531915,1.0
271,1270769,,1.0,Islington,N7 0RA,51.55294,-0.13252,House,Entire home/apt,6,2.0,3.0,4.0,109.0,150.0,50.0,2,30.0,2,0,1,0.03,4.889523085722494,House,0.0,4.6913478822291435,0.2765957446808511,0.0
274,1291505,,1.0,Islington,N19 5,51.55588,-0.13372,House,Entire home/apt,7,2.5,5.0,4.0,300.0,500.0,0.0,1,0.0,2,0,1,0.02,5.226296290325684,House,0.0,5.703782474656201,2.3085106382978724,0.0
295,1384320,100.0,1.0,Newham,E16 4,51.51797,0.02317,House,Entire home/apt,5,1.0,2.0,3.0,80.0,200.0,80.0,4,50.0,25,8,1,0.27,9.810527801471363,House,1.0,4.382026634673881,-0.031914893617021274,1.0
330,639749,100.0,2.0,Westminster,W9 1,51.52864,-0.18484,House,Entire home/apt,6,2.0,3.0,2.0,950.0,2000.0,250.0,1,0.0,0,0,2,,5.065133230360661,House,1.0,6.856461984594587,9.22340425531915,1.0
352,1506151,0.0,1.0,Newham,E15 4PU,51.53625,0.0048,House,Entire home/apt,6,0.0,3.0,3.0,572.0,0.0,30.0,6,0.0,0,0,1,,8.98864894789625,House,1.0,6.349138991379798,5.202127659574468,1.0
377,1558813,100.0,1.0,Southwark,SE22 0DT,51.44648,-0.06945,House,Entire home/apt,8,2.5,4.0,4.0,200.0,500.0,50.0,8,0.0,6,3,1,0.08,7.806834642097337,House,1.0,5.298317366548036,1.2446808510638299,1.0
378,1559053,,1.0,Lewisham,SE13 7XD,51.45559,-0.02008,House,Entire home/apt,5,1.0,3.0,2.0,85.0,195.0,35.0,4,6.0,0,0,1,,9.076474474641516,House,1.0,4.442651256490317,0.02127659574468085,1.0
384,1569324,100.0,1.0,Waltham Forest,,51.55539,-0.0019100000000000002,House,Entire home/apt,10,1.0,5.0,5.0,200.0,0.0,65.0,5,15.0,113,10,1,1.29,9.491892733173293,House,1.0,5.298317366548036,1.2446808510638299,1.0
410,1614205,100.0,1.0,Hackney,N16 0SS,51.55701,-0.08336,House,Entire home/apt,6,1.5,3.0,3.0,97.0,0.0,60.0,1,0.0,6,2,1,0.08,5.762927768374803,House,1.0,4.574710978503383,0.14893617021276595,1.0
435,1666422,,2.0,Camden,NW3 6NE,51.54999,-0.18455,House,Entire home/apt,8,2.5,3.0,4.0,801.0,801.0,0.0,1,0.0,0,0,2,,6.402324298703257,House,1.0,6.68586094706836,7.638297872340425,1.0
446,1013310,100.0,1.0,Hackney,E5,51.55206,-0.05641,House,Entire home/apt,7,1.5,4.0,7.0,190.0,0.0,60.0,7,40.0,5,2,1,0.08,6.337850985145929,House,0.0,5.247024072160486,1.1382978723404256,0.0
492,1621004,100.0,6.0,Camden,NW1 8DD,51.544,-0.14509,House,Entire home/apt,9,1.0,3.0,3.0,275.0,300.0,150.0,6,25.0,38,4,4,0.78,4.22761741369907,House,1.0,5.616771097666572,2.0425531914893615,1.0
513,1755482,100.0,1.0,Brent,NW10 3EH,51.54071,-0.22338000000000002,House,Entire home/apt,7,2.0,4.0,4.0,250.0,100.0,60.0,1,0.0,0,0,1,,8.046082037553576,House,1.0,5.521460917862246,1.7765957446808511,1.0
551,1598182,100.0,2.0,Hackney,E8 3RF,51.540929999999996,-0.05371,House,Entire home/apt,3,1.0,2.0,2.0,101.0,0.0,60.0,3,50.0,19,7,1,0.71,5.63301189187081,House,1.0,4.61512051684126,0.19148936170212766,1.0
